
央视频道,#genre#
CCTV1,http://ldnCCTVwbndks.v.kcdnvip.com/ldnCCTVwbnd/ldCCTV1_2/index.m3u8
CCTV1,http://120.7.30.152:2024/live/CCTV1/index.m3u8
CCTV1,http://tvpull.dxhmt.cn/tv/110812.m3u8
CCTV1,https://node1.olelive.com:6443/live/CCTV1/hls.m3u8
CCTV13,http://ldnCCTVwbndks.v.kcdnvip.com/ldnCCTVwbnd/ldCCTV13_2/index.m3u8
CCTV13,https://liveplay.CCTVnews.CCTV.com/CCTV/merge_CCTV13.m3u8?auth_key=357606504
CCTV13,http://liveplay.CCTVnews.CCTV.com/CCTV/merge_CCTV13.flv
CCTV13,http://liveplay.CCTVnews.CCTV.com/CCTV/merge_CCTV13_mud.flv
CCTV13,http://liveplay.CCTVnews.CCTV.com/CCTV/merge_CCTV13_mhd.flv
CCTV13,https://pi.0472.org/tv/asam.php?auth=231110
CCTV2,http://liveop.CCTV.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV1,http://fxgm.fxjf.work:19901/tsfile/live/0001_1.m3u8
CCTV2,http://fxgm.fxjf.work:19901/tsfile/live/0002_1.m3u8
CCTV3,http://fxgm.fxjf.work:19901/tsfile/live/0003_1.m3u8
CCTV4,http://fxgm.fxjf.work:19901/tsfile/live/0004_1.m3u8
CCTV5,http://fxgm.fxjf.work:19901/tsfile/live/0005_1.m3u8
CCTV6,http://fxgm.fxjf.work:19901/tsfile/live/0006_1.m3u8
CCTV7,http://fxgm.fxjf.work:19901/tsfile/live/0007_1.m3u8
CCTV8,http://fxgm.fxjf.work:19901/tsfile/live/0008_1.m3u8
CCTV9,http://fxgm.fxjf.work:19901/tsfile/live/0009_1.m3u8
CCTV10,http://fxgm.fxjf.work:19901/tsfile/live/0010_1.m3u8
CCTV11,http://fxgm.fxjf.work:19901/tsfile/live/0011_1.m3u8
CCTV12,http://fxgm.fxjf.work:19901/tsfile/live/0012_1.m3u8
CCTV13,http://fxgm.fxjf.work:19901/tsfile/live/0013_1.m3u8
CCTV14,http://fxgm.fxjf.work:19901/tsfile/live/0014_1.m3u8
